odiNumber,manufacturer,crash,fire,numberOfInjuries,numberOfDeaths,dateOfIncident,dateComplaintFiled,vin,components,summary,type,productYear,productMake,productModel,components_encoded,severity
11579723,honda (american honda motor co.),0,0,0,0,,,5J8TB3H59HL,"power train,vehicle speed control,engine",i am writing to report a concerning issue with my acura rdx 2017 which i believe poses a significant safety risk and requires immediate attention from your organization the problem i encountered while driving jeopardizes the safety of both myself and others on the road  about five days ago while driving at approximately 20 mph my vehicle began emitting loud thunderous sounds accompanied by intense vibrations that shook the entire car additionally it seemed to struggle when shifting gears particularly into second or third gear despite my careful and gradual acceleration the car exhibited signs of a malfunction within its transmission system  furthermore at around 35 mph the engine suddenly revved to over 3000 rpm causing the vehicle to accelerate without any input from me this acceleration occurred even though my foot was not on the gas pedal making the car difficult to control and putting me at risk of colliding with other vehicles or objects the unpredictability of these incidents is deeply alarming and could lead to serious accidents if not addressed promptly  i purchased this vehicle in december 2023 and have maintained it according to the manufacturers recommendations however when i inquired about the timing belt at the dealership i was assured that it had passed inspection despite this the recent malfunctions suggest a more serious underlying issue that needs immediate attention  crucially there were no warning lights messages or other indications of a problem prior to these incidents underscoring the sudden and unexpected nature of the issue  i urge the nhtsa to investigate this matter urgently and thoroughly i request that you initiate a recall of affected vehicles and implement necessary repairs to address the identified defects swift action is essential to ensure the safety of all motorists who may be affected by this issue,vehicle,2017,acura,rdx,18,leve
11555749,honda (american honda motor co.),0,0,0,0,,,5J8TB3H56HL,service brakes,the brakes failed at 17649 and all brakes needed to be replaced,vehicle,2017,acura,rdx,20,leve
11550557,honda (american honda motor co.),0,0,0,0,,,5J8TB4H74HL,exterior lighting,i own a 2017 acura rdx that i purchased new in 2017 my vehicle only has 45587 miles on it ive noticed in this last year that it is very hard to see at night when driving at night i have to use my high beams to be able to see ahead and drive safely yesterday10162023 when driving home around 830 at night i was pulled over by a state trooper for driving with my high beams on luckily enough i only received a warning to get my headlights fixed and not a ticket this incident prompted me to call the dealership to see how much it would cost to have my headlights replaced i was told it would cost 1200 to 1500 per headlight plus labor to replace them my headlight housing is pealing  cracking and the led bulbs appear dimmer than they should be,vehicle,2017,acura,rdx,9,leve
11519097,honda (american honda motor co.),0,0,0,0,,,5J8TB4H78HL,"electrical system,back over prevention,forward collision avoidance",part  control unit smart power  acura 38320tx4a31 has been diagnosed as defective causing major electrical issues  dealer says it affects the safety features of the car yet they cant get a replacment part   afraid to allow my wife to drive not knowing if the safety features we paid for actually work  air bags electrical breakdown during operation   a simple search finds it is a common problem with acura and hondas of this time period,vehicle,2017,acura,rdx,3,leve
11509543,honda (american honda motor co.),0,0,0,0,,,5J8TB4H74HL,"forward collision avoidance,lane departure",while driving all adas and emmision system malfunctioned and went offline errors appear on main control panel and these features were no longer working fortunately the car was otherwise still drivable without these features it was brought to a local acura dealer and they performed a software update which fixed the problem at least so far after a week of driving,vehicle,2017,acura,rdx,10,leve
11499553,honda (american honda motor co.),0,0,0,0,,,5J8TB4H5XHL,"power train,electrical system,lane departure",since we have had the car we have had multiple issues with the car jerking and shifting hard after driving in s mode then going to standard mode dealership told us the transmission is sensitive in our model year and if we go 1 mile overdue for a transmission fluid flush we will have shudderjerking hard shifting we have changed the transmission fluid 12x since have had the car which is within range of recommended   last episode battery was dead jumpstarted and car jerking at low speeds to the point i did not drive it and had it told we were also told their was a short in the circuit board that controlled acuralink and what charged the battery jerking transmission related per dealership  lastly the sound for the blind spot monitoring is intermittently not working,vehicle,2017,acura,rdx,16,leve
11496776,honda (american honda motor co.),0,0,0,0,,,5J8TB3H58HL,"power train,electrical system",keyless entry system failed at under 50k miles   when this keyless access unit fails you cannot start the car and the powertrain the only way to resolve is to have the car towed to the dealership and have the part orders and installed at over 800   in a worst case scenario the driver could be stranded in unsafe conditions  weather extremes heat or cold or parking at the side of the freeway unable to restart the car   i believe this is a huge safety issue and too common for this model acura this is clearly a critical system component that has failed far before it should there is no way to turn the vehicle on as this is a keyless entry vehicle,vehicle,2017,acura,rdx,14,leve
11489112,honda (american honda motor co.),1,0,0,0,,,5J8TB3H53HL,power train,the car accelerated rapidly when i came to a stop when i brought it to the dealership they found 3 problems with the transmission  first the transmission had overheated there were problems in the clutch assembly and i dont know the third,vehicle,2017,acura,rdx,13,leve
11487059,honda (american honda motor co.),0,0,0,0,,,5J8TB4H31HL,power train,while driving the car slips into manual gear shift and is slow to accelerate and it will have a hard shift of gears from 20  60 mph  the emissions check and transmission indicator lights are on  i can not drive the car safely because of the jerks of gear shifts or the slow acceleration when driving on roads and highways the car is being inspected for transmission issues with concerns that there is severe damage requiring a replacement of the transmission,vehicle,2017,acura,rdx,13,leve
11486854,honda (american honda motor co.),1,1,0,1,,,5J8TB4H54HL,"unknown or other,firerelated",the contact called on behalf of her mother who was the owner of a 2017 acura rdx the contact was reporting the complaint based on verbal information she received from a police officer the contact stated her mother was driving out of her driveway when she drove into an embankment and the vehicle was stuck the contact stated the police officers informed her that the cause of the fire was due to the driver attempting to drive out of the embankment and reverse out of the embankment several times the vehicle had caught on fire and the driver passed away in the vehicle as she was unable to exit the vehicle the fire department was called and extinguished the fire the contact stated she was awaiting the police department and fire department report the vehicle was towed to the police towing lot the failure caused was not determined by the insurance company independent mechanic or dealer the manufacturer had not been informed of the failure the failure mileage was unknown,vehicle,2017,acura,rdx,27,grave
11480846,honda (american honda motor co.),0,0,0,0,,,5j8tb4h33hl,power train,transmission slips and shifts hard causing the car to lurch foreward it also loses power when accelerating,vehicle,2017,acura,rdx,13,leve
11468879,honda (american honda motor co.),0,0,0,0,,,5J8TB4H59HL,electrical system,on friday may 10 2022 as i was merging from a local road to the highway i tried to accelerate to complete a safe merge however the car stated loosing power and jerking i had to floor the accelerator to get the power needed to avoid a collision with the vehicle behind me  about 1 mile later the care started loosing power again and cut out  i restarted and continued driving a few yards later the car jerked and all the warning lights came on  given the serious safety issue and the fact that i happened to be near the an acura dealership i slowly drove to that dealership  since it was close to the end of the business day on a friday i knew that id have to wait until the next day or week to get a report on the problem i previously filed two complaints on june 19 2019 and july 28 2019 on this same issue  i spoke with a representative of honda several times and they assured my that the problem was fixed after the dealer kept this car for several weeks to work on it  at this juncture given that this is an issue that could cause serious harm i am ready to sell this car honda needs to fix this,vehicle,2017,acura,rdx,2,leve
11445858,honda (american honda motor co.),0,0,0,0,,,5J8Tb4H78HL,lane departure,while driving on the freeway we experienced 2 conditions 1 the steering wheel jerks back and forth by about an inch in each direction 5 or 6 times 2 when changing lanes the steering wheel moved the car back from the lane we were coming from it took force to keep the car in the lane a message came up in the dashboard collision mitigation system problem  acura of roseville ca denies there is a problem as they cant get the message to come up and supposedly the computer didnt record the message  additionally the lane keeper assist goes off unexpectedly,vehicle,2017,acura,rdx,12,leve
11435206,honda (american honda motor co.),0,0,0,0,,,5j8tb4h36hl,structure,the sunroof exploded with no outside impact i drive to the office in the morning and as soon as i put the car in park the sunroof exploded with a huge noise nothing fell on the sunroof and there was nothing wrong with the sunroof until then i had opened and closed the sunroof the day before with no issues the sunroof exploded and shattered the glass in thousands of pieces fortunately the sunshade was closed which protected the shattered glass from falling on me,vehicle,2017,acura,rdx,23,leve
11413566,honda (american honda motor co.),1,0,2,0,,,5J8TB4H78HL,service brakes,tl the contact owned a 2017 acura rdx the contact stated that while she was driving the adaptive cruise control was set to 25 mph when she depressed on the brake pedal at the stoplight but the brakes failed to respond which resulted in her vehicle rearending six other vehicles the air bags deployed medical attention was required as the contact and her husband were taken to the hospital for the injuries sustained the contact believed one of the driver was also taken to the hospital but she was uncertain a police report was filed the vehicle was towed to a towing lot and the contact deemed the vehicle totaled the contact stated that after reviewing the vehicles manual she learned that the adaptive cruise control has limited braking capabilities and would automatically cancel if the speed drops below 22 mph the dealer and manufacturer were not made aware of the failure the failure mileage was 18000 dt,vehicle,2017,acura,rdx,20,leve
11407549,honda (american honda motor co.),0,0,0,0,,,5J8TB4H33HL,power train,took off from stop vehicle makes a loud thud and doesnt shift into a gear revs up but wont shift took it to prime acura the couldnt duplicate the problem changed transmission transfer case and rear differential fluids one month later it happened again i turn off engine then restart and the problem is gone not sure if it will happen again,vehicle,2017,acura,rdx,13,leve
11406337,honda (american honda motor co.),0,0,0,0,,,5J8TB4H38HL,seat belts,middle seatbelt wont latch,vehicle,2017,acura,rdx,19,leve
11398495,honda (american honda motor co.),0,0,0,0,,,5J8TB4H33HL,suspension,failure of front strut assemblies,vehicle,2017,acura,rdx,24,leve
11396930,honda (american honda motor co.),0,0,0,0,,,5J8TB3H79HL,"service brakes,forward collision avoidance",while using the cruise control vehicle will automatically slam on the brakes without reason  this typically occurs on highway where vehicle will automatically brake reducing speed dramatically  vehicle will go from 70mph to 55 mph in a few seconds causing the vehicles behind to have to brake fast to avoid collision  acura has worked on vehicle 4 times and claims they cannot fix the system  i was told to hold my foot over the accelerator to increase speed when this happens  they also told me that they are very aware of this problem but offered no correction for this unsafe condition  it has happened at least 100 times  vehicle is 4 years old with 7000 miles,vehicle,2017,acura,rdx,21,leve
11387607,honda (american honda motor co.),0,0,0,0,,,5J8TB3H56HL,structure,current paint white diamond pearl rear of vehicle below the rear window glass the paint is chipping chipping size currently is approximately 3x3 vehicle was stationary,vehicle,2017,acura,rdx,23,leve
11387386,honda (american honda motor co.),0,0,0,0,,,19UTB4855HC,power train,turning in a field chamin the roads my auto slided  later apparead the awd notewhat dose it mean,vehicle,2017,acura,rdx,13,leve
11386470,honda (american honda motor co.),0,0,0,0,,,5J8TB4H54HL,fuel/propulsion system,this car has just 10000 miles when the car started it suddenly over accelerated over 5800 rpm and the engine had to be turned off every time the engine was started the motor over running above the 5800rpm  the car was towed to the acura repair shop the acuras mechanic do not find anything wrong i will like to know if there are other acura vehicles that have had this same problem and hoe will be fixed,vehicle,2017,acura,rdx,11,leve
11365183,honda (american honda motor co.),0,0,0,0,,,5J8TB4H54HL,"vehicle speed control,engine",tl the contact owns a 2017 acura rdx the contact stated while driving 45 mph the vehicle failed to accelerate and loss motive power the vehicle coasted to a stop the vehicle was restarted and operated as designed for less than one minute before the failure recurred the contact took the vehicle to schaller acura 345 center st manchester ct 06040 860 6477077 who were unable to identify the cause of the failure the contact stated the failure reoccurred at 3540 mph the manufacturer was made aware of the failure and a case was opened the approximate failure mileage was 37800,vehicle,2017,acura,rdx,31,leve
11329513,honda (american honda motor co.),0,0,0,0,,,5J8TB3H52HL,"vehicle speed control,engine",tl the contact owns a 2017 acura rdx the contact stated that while depressing the accelerator pedal the vehicle hesitated to accelerate in addition the vehicle accelerated abruptly on several occasions the contact that on several occasions while driving the vehicle stalled without warning the contact stated that the vehicle restarted independently the vehicle was taken to key acura of gainesville 3435 n main st gainesville fl 32609 on three separate occasions however the mechanic was unable to determine the cause of the failure the vehicle was not repaired the manufacturer was not notified of the failure the approximate failure mileage was 22000,vehicle,2017,acura,rdx,31,leve
11317957,honda (american honda motor co.),0,0,0,0,,,5J8TB3H56HL,"unknown or other,fuel/propulsion system",on the day 10272016 i purchased a zero mile acura rdx 2017 vehicle from bella group at kennedy san juan with transmission issues it jumps mostly when it passes 20 mhp and when it brakes she jumped as if lowering changes during the past 3 years i went to acura service in guaynabo and i told  about the transmission and they always told me that it was fine on 932020 i took the car and told acura service every time about the transmission it was delivered to me as everything was fine which bothered me and i asked for a manager the manager came and we gave a test drive and in 5 minutes he found the problem then they give me the service paper informing that on 0442017 acura informed through a service bulletin 17017 that the judder from the torque converter which causes that the motor oil burns more than normal causing the transmission to jump acura servicio carried out the service bulletin but as of 3132020 the bus continues with the same problem once it is hot,vehicle,2017,acura,rdx,28,leve
11257617,honda (american honda motor co.),0,0,0,0,,,5J8TB4H76HL,"vehicle speed control,electronic stability control (esc),engine",during morning commute on highway multiple warning lights came on including electronic stability control emissions lane departure and power steering  on rapid acceleration vehicle had pronounced power loss which obviously could be dangerous  this is the second time this very thing has happened to the vehicle  its at least the 4th time multiple warning lights have come on and the second for the loss of power on acceleration  the dealership consulted acura technical support the last time and said they had identified and fixed the problem,vehicle,2017,acura,rdx,30,leve
11254022,honda (american honda motor co.),0,0,0,0,,,5J8TB4H39HL,visibility/wiper,front passenger side window regulator failure after just 2 years of service,vehicle,2017,acura,rdx,32,leve
11240464,honda (american honda motor co.),0,0,0,0,,,5J8TB3H55HL,vehicle speed control,i was driving on a highway with the automatic cruise control acc enabled and set at 68 mph without touching the pedal or controls the cruise speed setting suddenly jumped to 90 mph and my car rapidly accelerated to reach that speed fortunately there was no one in front of me and i was able to take control of the car and disable cruise control,vehicle,2017,acura,rdx,29,leve
11240187,honda (american honda motor co.),0,0,0,0,,,5J8TB4H59HL,electrical system,this vechicle starts to loose power jerky acceleration then cuts out completely  all the lights come on including check engine and remains on until i tak it to the dealer  purchased in march 2018 this is a continual problem and getting worse  three times in the past month  the dealer kept the vehicle for three weeks from june 20 2019 after three 3 weeks he told me there was nothing wrong  problem occured again today july 28 2019,vehicle,2017,acura,rdx,2,leve
11240203,honda (american honda motor co.),0,0,0,0,,,5J8TB4H59HL,electrical system,followup to complaint 11240187  acura was made aware to this situation  this situation with the car loosing power and cutting out in the middle of traffic is very dangerous  i have called the manfacutrer several times to no avail      in addition i lose time from work each time i have to take my car in    dates of incidents  july 28 2019 june 20 2019 july 20 2018 march 4 2018    please help i no longer have confiednce in this car  dangerous,vehicle,2017,acura,rdx,2,leve
11209546,honda (american honda motor co.),0,0,0,0,,,5J8TB18537A,air bags,my vehicle had two recalls for the same problem  it was serviced by the first recall  however the same problem returned with another  airbag notification  when i contacted acura and my dealer they are telling me that despite the latest recall my vehicle is not on the list i believe it has to be related but they cannot tell me why vehicle is exempt from the second recall i am afraid to drive the vehicle because of the imminent danger  i need your help i need to know why vehicle is exempt ,vehicle,2017,acura,rdx,0,leve
11202874,honda (american honda motor co.),0,0,0,0,,,5J8TB3H79HL,service brakes,while driving with the lane departure system on and cruise control on the vehicle would unexpectedly brake for no reason  this happened several times  with lane departure system on and cruise control off the vehicle would occasionally give a brake now warning for no reason  dealer claims that the issue has been corrected but it is unknown if this is correct,vehicle,2017,acura,rdx,20,leve
11151490,honda (american honda motor co.),0,0,0,0,,,5J8TB3H36HL,"engine,fuel/propulsion system",i requested free diagnostic from acura and they denied due to involvement of accident on 2272018rearend but the vehicle was repaired in the body shop certified by acura and i made claim again to geico insurance company to figure out  the subject vehicle have the fuel consumption dropped from 25 milesgallon to 20 milesgallon and smell gasoline when turn on the engine  acura case is 09121073 and mr amary talked me about their way to deal with customer the subject vehicle is leased and we have still 2 years term left on it  acura is trying to ignore a potential hazard and safety issue  please help us outthank you for your time reading this,vehicle,2017,acura,rdx,8,leve
11123780,honda (american honda motor co.),0,0,0,0,,,5J8TB3H50HL,service brakes,severe pulsation of braking system after only 6000 miles dealer resurfaced warped rear rotors at 10080 miles the same problem has come back and car is being repaired again,vehicle,2017,acura,rdx,20,leve
11111895,honda (american honda motor co.),0,0,0,0,,,5J8TB3H34HL,steering,tl the contact owns a 2017 acura rdx while driving 55 mph the steering wheel seized without warning the vehicle was towed to duncan acura 2032 peters creek rd roanoke va 24017 where the failure was diagnosed and the vehicle was repaired however the contact was unaware of the diagnosis or repairs that were completed the contact stated that the failure recurred multiple times the vehicle was taken back to the dealer for further diagnostic testing and repairs the manufacturer was also made aware of the failure the vehicle was not repaired the approximate failure mileage was 1500,vehicle,2017,acura,rdx,22,leve
11102817,honda (american honda motor co.),0,0,0,0,,,5J8TB3H38HL,"vehicle speed control,engine",tl the contact owns a 2017 acura rdx while reversing out of the driveway the vehicle inadvertently accelerated the contact had to quickly shift the vehicle into park and apply extreme pressure to the brake pedal to stop the vehicle the contact stated that the failure occurred numerous times on one occasion while driving on the highway the vehicle inadvertently accelerated and a green light with the word main was displayed the vehicle was towed to chapman acura 4600 e 22nd st tucson az 85711 520 4454061 but they were unable to duplicate the failure the vehicle was not repaired the manufacturer was not notified the failure mileage was 20000 tt  consumer stated brakes did not work car only stopped when consumer ran over curb up a hill and hit some boulders 1 have never used cruise control  car would not stop in reverse or going forward repair damages 110562 happened again in 61718 updated 92618jb,vehicle,2017,acura,rdx,31,leve
11099209,honda (american honda motor co.),0,0,0,0,,,5J8TB4H34HL,unknown or other,the air conditionercondensers on honda automobiles are prone to damage from road debris because of a design defect that honda  dealers refuses to repair under warranty,vehicle,2017,acura,rdx,26,leve
11096578,honda (american honda motor co.),1,0,2,0,,,5J8TB4H7XHL,service brakes,i was driving on a highway and i wanted to slow my car down because i was approaching a construction area  when i applied the brakes the break pedal went right down to the floor  this total break failure did not allow me to stop my car,vehicle,2017,acura,rdx,20,leve
11079479,honda (american honda motor co.),1,0,0,0,,,"",service brakes,brakes locking car would not stop,vehicle,2017,acura,rdx,20,leve
11041811,honda (american honda motor co.),0,0,0,0,,,5J8TB4H74HL,power train,when the engine does not respond to the throttle you continue to depress throttle then the engine begines to jerk  and slowly accelerate  engine appears to die when you are in the slow down situation i have to press accelerator to the floor to get the car going  getting on the highway is very unsafe because you need a lot of room to accelerate because a v6 engine hesitated  at the acceleration and even you already driving  passing cars is not even an option failure to accelerate quickly is not possible   started experiencing it at 800 miles   very unsafe unpredictable and a big dissapointment,vehicle,2017,acura,rdx,13,leve
11035916,honda (american honda motor co.),0,0,0,0,,,5J8TB4H39HL,power train,1 harsh transmission shifts  the transmissions gear shifts both up and down are jerky and its very obvious  unpleasant when compared to driving other cars even to a 2005 toyota corolla  the shifts seem much harsher especially when downshifting  when the car slows down there is a sudden jerk and a noticeable drop in speed  ive concluded that it occurs most when the transmission downshifts from gear 5 to 4 around 3035 mph and 4 to 3 at 20 mph  it almost appears that when the car is in drive it shifts too early causing the car to jerk and slow down as if i quickly pressed the brakes ie engine braking  i also have noticed that when the car is in sport mode the harsh downshift is not as evident and much smoothernormal this is a significant safety issue as the sudden jerk  slowdowns are unexpected for drivers behind me especially since there are no visual indicatorswarnings eg brake lights dont come when this happens  plus not to mention a waste of my gas as i have to press the gas to get it back up the cruising speed needed  i brought this up to the service team at acura mcgrath immediately after my purchase and so far ive heard that acura transmissions are quite strange and have their own nuances compared to all other car makes and this downshifting that i experience is by design  however during both of my test drives at 2 different dealerships i did not feel this at all  my friends who have driven with me have also noticed this and mentioned its unpleasant and unexpected for a luxury car      even after the memory reset that we did a couple weeks ago this is still noticeable on both up  downshifts again harshest shift experienced when down shifting when slowing down at 20 mph,vehicle,2017,acura,rdx,13,leve
11035918,honda (american honda motor co.),0,0,0,0,,,5J8TB4H39HL,service brakes,brake noise   brakes make a loud thumpingknocking noise when i step off the brake to start crawling from a complete stop in drive mode ie at a red light or stop sign  here are videos which demonstrate this  this happens very frequently and is loud  and in rare occasions the brakes make a squealing noise  overall the brakes are working eg i can use them to stop fine but these issues are frequent enough that its concerning irritating and really just completely embarrassing to drive with such a highend brand     please see the videos below which highlight these noises i noticed it also happens when im shifting around from parkreversedrive when im the parking lot sounds like the car is regurgitating   again this is very concerning ie is the brake going to give out some time without me knowing annoying to hearfeel and quite embarrassing as my passengers as well as folks outside my car can hear it  i feel its unacceptable for such a new car  any suggestions8203 on what i should do  has anything come back from service bulletins or the engineers in california  i noticed some tsbs related to the brakes            1 brake noise  march 5th  httpsgooglphotoscm1q4bfybjnkbsxu9           2 brake noise  march 6th  httpsgooglphotoscc5glrdq1vhbtwni7,vehicle,2017,acura,rdx,20,leve
11035925,honda (american honda motor co.),0,0,0,0,,,5J8TB4H39HL,unknown or other,bluetooth connection drops  my iphone is constantly getting dropped and then reconnected by the bluetooth stereo system  this is incredibly frustrating as ive missed directions when using the gps navigation on my phone as well as lost audio when on phone calls  this has proven to be cumbersome and unsafe as it forces me to have to fumble with my phone while driving in traffic making obsolete the handsfree safety feature of the car as advertised   ive missed many gps turns because of this and have had to pick up my phone while driving to frantically find out how to reroute my navigation  the same is experienced with my wifes iphone      heres some videos that show my phone disconnecting while driving  httpsphotosappgooglb0nurxd0zhtnchqx1,vehicle,2017,acura,rdx,26,leve
11024736,honda (american honda motor co.),0,0,0,0,,,"",visibility/wiper,driver mirrorsplit screen as vehicle approaches from the rear driver side vehicle appears in split screen and as it approaches it appears to veer into your car first reaction is to turn right as it seems the approaching vehicle is going to hit my rear side gut reaction causes me me turn sharply to the right indangering traffic in right lane if i am in middle lane of three lane highway or veer into ditch on right this mirror should be replaced with normal view it almost killed me,vehicle,2017,acura,rdx,32,leve
11013459,honda (american honda motor co.),0,0,0,0,,,5J8TB3H79HL,service brakes,vehicle shakes at high speed when the break is applied cause by rotor warping the deal had resurface the rotor and replaced break pad one already but it still does same thing,vehicle,2017,acura,rdx,20,leve
11001501,honda (american honda motor co.),0,0,0,0,,,5J8TB4H34HL,"suspension,power train,wheels",i purchased the 2017 acura rdx on march 20 2017 with 20 miles i noticed this past saturday june 24 2017 that is rust in the exhaust area around the wheels and other areas underneath the auto,vehicle,2017,acura,rdx,25,leve
11000156,honda (american honda motor co.),0,0,0,0,,,5J8TB4H57HL,"electrical system,vehicle speed control,electronic stability control (esc)",9249 miles on a 2017 acura rdx check engine light came on while in motion on a highway at approximately 65 mph with notable loss of power once stopped it took a full 30 seconds to get to 15 mph let car sit for 2 hours as manual stated once restarted and driven for approximately 20 feet all lights on dashboard where flashing and again virtually no power vehicle was towed to the dealership tech performed hds scan and retrieved error codes p0304 p0 05 and p0306456 dealership claims was all due to needing a software update of which i never would have been aware of unless i experienced this scary loss of power on the highway they had no sort of alert out that the new models are in need of a software update dangerous and do not feel safe driving this car any longer,vehicle,2017,acura,rdx,6,leve
10954547,honda (american honda motor co.),0,0,0,0,,,5J8TB4H7XHL,"electrical system,forward collision avoidance",tl the contact owns a 2017 acura rdx while driving approximately 65 mph the vehicle experienced a loss of power and the collision avoidance warning indicator illuminated the vehicle was taken to the dealer but the failure could not be replicated the vehicle was not repaired the manufacturer was notified of the failure the failure mileage was approximately 2000,vehicle,2017,acura,rdx,4,leve
